Bob Spade	Pitcher
Warren Spahn β	Pitcher
Albert Spalding β	Pitcher
Dick Spalding	Outfielder
Denard Span	Outfielder
Al Spangler	Outfielder
Bill Spanswick	Pitcher
Jeff Sparks	Pitcher
Steve Sparks (1995–2004 P)	Pitcher
Steve Sparks (2000 P)	Pitcher
Tully Sparks	Pitcher
Joe Sparma	Pitcher
Bob Speake	Outfielder
Tris Speaker β	Outfielder
Nate Spears	Second baseman
Cliff Speck	Pitcher
By Speece	Pitcher
Horace Speed	Outfielder
Floyd Speer	Pitcher
Kid Speer	Pitcher
Tim Spehr	Catcher
Chris Speier	Shortstop
Justin Speier	Pitcher
Ryan Speier	Pitcher
Levale Speigner	Pitcher
Bob Spence	First baseman
Josh Spence	Pitcher
Stan Spence	Outfielder
Spencer, first name unknown	Shortstop
Ben Spencer	Outfielder
Chet Spencer	Outfielder
Daryl Spencer	Utility infielder
George Spencer	Pitcher
Glenn Spencer	Pitcher
Hack Spencer	Pitcher
Jim Spencer	First baseman
Roy Spencer	Catcher
Sean Spencer	Pitcher
Shane Spencer	Outfielder
Stan Spencer	Pitcher
Tom Spencer	Outfielder
Tubby Spencer	Catcher
Vern Spencer	Outfielder
Paul Speraw	Third baseman
Ed Sperber	Outfielder
Rob Sperring	Utility infielder
Stan Sperry	Second baseman
Bob Spicer	Pitcher
Bill Spiers	Utility infielder
Harry Spies	First baseman
Ed Spiezio	Third baseman
Scott Spiezio	Utility infielder
Charlie Spikes	Outfielder
Ryan Spilborghs	Outfielder
Dan Spillner	Pitcher
Harry Spilman	First baseman
Hal Spindel	Catcher
Scipio Spinks	Pitcher
Junior Spivey	Second baseman
Paul Splittorff	Pitcher
Andy Spognardi	Second baseman
Al Spohrer	Catcher
Paul Spoljaric	Pitcher
Carl Spongberg	Pitcher
Karl Spooner	Pitcher
Tim Spooneybarger	Pitcher
Jim Spotts	Catcher
Jerry Spradlin	Pitcher
Homer Spragins	Pitcher
Charlie Sprague	Pitcher
Ed Sprague, Sr.	Pitcher
Ed Sprague, Jr.	Third baseman
Harry Spratt	Shortstop
George Spriggs	Outfielder
Jack Spring	Pitcher
Brad Springer	Pitcher
Dennis Springer	Pitcher
Ed Springer	Pitcher
Russ Springer	Pitcher
Steve Springer	Third baseman
Joe Sprinz	Catcher
Charlie Sproull	Pitcher
Bob Sprout	Pitcher
Bobby Sprowl	Pitcher
Freddy Spurgeon	Second baseman
Jay Spurgeon	Pitcher
Chris Spurling	Pitcher
Ed Spurney	Shortstop
Mike Squires	First baseman
Ebba St. Claire	Catcher
Randy St. Claire	Pitcher
Max St. Pierre	Catcher
Jim St.Vrain	Pitcher
Joe Stabell	Outfielder
George Stablein	Pitcher
Eddie Stack	Pitcher
Marv Staehle	Second baseman
Bill Stafford	Pitcher
Stafford	Outfielder
